date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:08:25	32058/32058	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202016%2013:38:16%20GMT	http://www.niyati.com/blog/	C:/My%20Web%20Sites/Niyati/www.niyati.com/blog/index.html	(from http://www.niyati.com/)
19:08:26	6154/6154	---M-Z	200	added ('OK')	application/x-javascript	etag:%2212a3129-180a-5122f5b1ddd40%22	http://www.niyati.com/includes/menu.js	C:/My%20Web%20Sites/Niyati/www.niyati.com/includes/menu.js	(from http://www.niyati.com/)
19:08:27	8431/8431	---M-Z	200	added ('OK')	application/x-javascript	etag:%2212a28f1-20ef-52fe486f7f7c0%22	http://www.niyati.com/includes/jpushmenu.js	C:/My%20Web%20Sites/Niyati/www.niyati.com/includes/jpushmenu.js	(from http://www.niyati.com/)
19:08:28	15615/15615	---M-Z	200	added ('OK')	application/x-javascript	etag:%2212a22ef-3cff-53057e5b9cb80%22	http://www.niyati.com/includes/typed.js	C:/My%20Web%20Sites/Niyati/www.niyati.com/includes/typed.js	(from http://www.niyati.com/)
19:08:29	25348/25348	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22574fe56b-6304%22	http://www.statcounter.com/counter/counter.js	C:/My%20Web%20Sites/Niyati/www.statcounter.com/counter/counter.js	(from http://www.niyati.com/)
19:08:30	95786/95786	---MC-	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	C:/My%20Web%20Sites/Niyati/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	(from http://www.niyati.com/)
19:08:33	2198/2198	---M--	200	added ('OK')	image/gif	etag:%2212a28da-896-5305cb87ede80%22	http://www.niyati.com/images/basket.gif	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/basket.gif	(from http://www.niyati.com/includes/bootstrap.min.css)
19:08:34	2121/2121	---M--	200	added ('OK')	image/gif	etag:%2212a28d9-849-5305cb841d580%22	http://www.niyati.com/images/lock.gif	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/lock.gif	(from http://www.niyati.com/includes/bootstrap.min.css)
19:08:35	2328/2328	---M--	200	added ('OK')	image/gif	etag:%2212a28d8-918-5305cb8140ec0%22	http://www.niyati.com/images/revenue.gif	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/revenue.gif	(from http://www.niyati.com/includes/bootstrap.min.css)
19:08:39	78785/78785	---M--	200	added ('OK')	image/jpeg	etag:%2212a2313-133c1-5305cbbc61a40%22	http://www.niyati.com/images/mcomm-bg.jpg	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/mcomm-bg.jpg	(from http://www.niyati.com/includes/bootstrap.min.css)
19:08:40	5153/5153	---M--	200	added ('OK')	image/png	etag:%2212a2c97-1421-5306f6ade2600%22	http://www.niyati.com/images/ecom-strategy.png	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/ecom-strategy.png	(from http://www.niyati.com/includes/bootstrap.min.css)
19:08:41	135374/135374	---M--	200	added ('OK')	image/png	etag:%2212a1935-210ce-5305caf604640%22	http://www.niyati.com/images/sprite.png	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/sprite.png	(from http://www.niyati.com/includes/bootstrap.min.css)
19:08:41	6177/6177	---M--	200	added ('OK')	image/png	etag:%2212a2c92-1821-5306f6aa11d00%22	http://www.niyati.com/images/ecom-marketplace.png	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/ecom-marketplace.png	(from http://www.niyati.com/includes/bootstrap.min.css)
19:08:44	6953/6953	---M--	200	added ('OK')	image/png	etag:%2212a2c94-1b29-5306f6acee3c0%22	http://www.niyati.com/images/ecom-omni.png	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/ecom-omni.png	(from http://www.niyati.com/includes/bootstrap.min.css)
19:08:46	5429/5429	---M--	200	added ('OK')	image/png	etag:%2212a2c95-1535-5306f6acee3c0%22	http://www.niyati.com/images/ecommerce-doll.png	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/ecommerce-doll.png	(from http://www.niyati.com/includes/bootstrap.min.css)
19:08:46	5227/5227	---M--	200	added ('OK')	image/png	etag:%2212a2c96-146b-5306f6ade2600%22	http://www.niyati.com/images/ecom-mcom.png	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/ecom-mcom.png	(from http://www.niyati.com/includes/bootstrap.min.css)
19:08:48	3775/3775	---M--	200	added ('OK')	image/png	etag:%2212a2c8e-ebf-5306f6a91dac0%22	http://www.niyati.com/images/ecom-bot-icon1.png	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/ecom-bot-icon1.png	(from http://www.niyati.com/includes/bootstrap.min.css)
19:08:48	136270/136270	---M--	200	added ('OK')	image/jpeg	etag:%2212a28f9-2144e-5305caea92b40%22	http://www.niyati.com/images/ecommerce-left-bg.jpg	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/ecommerce-left-bg.jpg	(from http://www.niyati.com/includes/bootstrap.min.css)
19:08:49	2767/2767	---M--	200	added ('OK')	image/png	etag:%2212a2c8f-acf-5306f6a829880%22	http://www.niyati.com/images/ecom-bot-icon2.png	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/ecom-bot-icon2.png	(from http://www.niyati.com/includes/bootstrap.min.css)
19:08:54	2665/2665	---M--	200	added ('OK')	image/png	etag:%2212a2c8d-a69-5306f6a829880%22	http://www.niyati.com/images/ecom-bot-icon3.png	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/ecom-bot-icon3.png	(from http://www.niyati.com/includes/bootstrap.min.css)
19:08:54	5871/5871	---M--	200	added ('OK')	image/png	etag:%2212a2c93-16ef-5306f6abfa180%22	http://www.niyati.com/images/ecom-seo.png	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/ecom-seo.png	(from http://www.niyati.com/includes/bootstrap.min.css)
19:08:55	9107/9107	---M--	200	added ('OK')	image/gif	etag:%2212a2902-2393-5305cb0bf3a00%22	http://www.niyati.com/images/exp-video-dotted-bg.gif	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/exp-video-dotted-bg.gif	(from http://www.niyati.com/includes/bootstrap.min.css)
19:08:56	1008/1008	---M--	200	added ('OK')	image/png	etag:%2212a28ff-3f0-5305caf8e0d00%22	http://www.niyati.com/images/arrow.png	C:/My%20Web%20Sites/Niyati/www.niyati.com/images/arrow.png	(from http://www.niyati.com/includes/bootstrap.min.css)
19:09:05	160896/160896	---MCZ	200	added ('OK')	text/plain	etag:%2212a1955-27480-50f6aa30c5e00%22	http://www.niyati.com/fonts/Roboto-Medium.eot	C:/My%20Web%20Sites/Niyati/www.niyati.com/fonts/Roboto-Medium.eot	(from http://www.niyati.com/includes/bootstrap.min.css)
19:09:10	160696/160696	---MCZ	200	added ('OK')	text/plain	etag:%2212a1960-273b8-50f6aa5132a80%22	http://www.niyati.com/fonts/Roboto-Medium.ttf	C:/My%20Web%20Sites/Niyati/www.niyati.com/fonts/Roboto-Medium.ttf	(from http://www.niyati.com/includes/bootstrap.min.css)
19:09:13	158800/158800	---MCZ	200	added ('OK')	text/plain	etag:%2212a1972-26c50-50f6aa5abc100%22	http://www.niyati.com/fonts/Roboto-Regular.eot	C:/My%20Web%20Sites/Niyati/www.niyati.com/fonts/Roboto-Regular.eot	(from http://www.niyati.com/includes/bootstrap.min.css)
19:09:23	158604/158604	---MCZ	200	added ('OK')	text/plain	etag:%2212a1975-26b8c-50f6aa7570000%22	http://www.niyati.com/fonts/Roboto-Regular.ttf	C:/My%20Web%20Sites/Niyati/www.niyati.com/fonts/Roboto-Regular.ttf	(from http://www.niyati.com/includes/bootstrap.min.css)
19:09:25	867992/867992	---MCZ	200	added ('OK')	image/svg+xml	etag:%2212a195f-d3e98-50f6aa4c6df40%22	http://www.niyati.com/fonts/Roboto-Medium.svg	C:/My%20Web%20Sites/Niyati/www.niyati.com/fonts/Roboto-Medium.svg	(from http://www.niyati.com/includes/bootstrap.min.css)
19:09:34	846490/846490	---MCZ	200	added ('OK')	image/svg+xml	etag:%2212a1974-cea9a-50f6aa6dcee00%22	http://www.niyati.com/fonts/Roboto-Regular.svg	C:/My%20Web%20Sites/Niyati/www.niyati.com/fonts/Roboto-Regular.svg	(from http://www.niyati.com/includes/bootstrap.min.css)
19:09:37	192016/192016	---MCZ	200	added ('OK')	text/plain	etag:%2212a1973-2ee10-50f6aa5f80c40%22	http://www.niyati.com/fonts/Roboto-Regular.otf	C:/My%20Web%20Sites/Niyati/www.niyati.com/fonts/Roboto-Regular.otf	(from http://www.niyati.com/includes/bootstrap.min.css)
19:09:42	197352/197352	---MCZ	200	added ('OK')	text/plain	etag:%2212a195e-302e8-50f6aa367eb80%22	http://www.niyati.com/fonts/Roboto-Medium.otf	C:/My%20Web%20Sites/Niyati/www.niyati.com/fonts/Roboto-Medium.otf	(from http://www.niyati.com/includes/bootstrap.min.css)
19:09:43	163632/163632	---MCZ	200	added ('OK')	text/plain	etag:%2212a1944-27f30-50f6a9ed0fe40%22	http://www.niyati.com/fonts/Roboto-Bold.eot	C:/My%20Web%20Sites/Niyati/www.niyati.com/fonts/Roboto-Bold.eot	(from http://www.niyati.com/includes/bootstrap.min.css)
19:09:52	867970/867970	---MCZ	200	added ('OK')	image/svg+xml	etag:%2212a1946-d3e82-50f6aa0116d80%22	http://www.niyati.com/fonts/Roboto-Bold.svg	C:/My%20Web%20Sites/Niyati/www.niyati.com/fonts/Roboto-Bold.svg	(from http://www.niyati.com/includes/bootstrap.min.css)
19:09:52	193708/193708	---MCZ	200	added ('OK')	text/plain	etag:%2212a1945-2f4ac-50f6a9f3bce00%22	http://www.niyati.com/fonts/Roboto-Bold.otf	C:/My%20Web%20Sites/Niyati/www.niyati.com/fonts/Roboto-Bold.otf	(from http://www.niyati.com/includes/bootstrap.min.css)
19:09:52	163448/163448	---MCZ	200	added ('OK')	text/plain	etag:%2212a1947-27e78-50f6aa05db8c0%22	http://www.niyati.com/fonts/Roboto-Bold.ttf	C:/My%20Web%20Sites/Niyati/www.niyati.com/fonts/Roboto-Bold.ttf	(from http://www.niyati.com/includes/bootstrap.min.css)
19:09:53	283/283	---M--	302	error ('Found')	text/html	date:Sun,%2019%20Jun%202016%2013:39:54%20GMT	http://www.niyati.com/fonts/Roboto-Light.otf	C:/My%20Web%20Sites/Niyati/www.niyati.com/fonts/Roboto-Light.59.delayed	(from http://www.niyati.com/includes/bootstrap.min.css)
19:09:54	18307/18307	---M-Z	200	added ('OK')	text/html	etag:%2212a18bb-4783-531768f0625c0%22	http://www.niyati.com/404-error.htm	C:/My%20Web%20Sites/Niyati/www.niyati.com/404-error.html	(from http://www.niyati.com/includes/bootstrap.min.css)
19:09:54	140482/140482	---MCZ	200	added ('OK')	text/plain	etag:%2212a1949-224c2-50f6aa114d3c0%22	http://www.niyati.com/fonts/Roboto-Light.eot	C:/My%20Web%20Sites/Niyati/www.niyati.com/fonts/Roboto-Light.eot	(from http://www.niyati.com/includes/bootstrap.min.css)
19:10:03	681751/681751	---MCZ	200	added ('OK')	image/svg+xml	etag:%2212a194a-a6717-50f6aa236be80%22	http://www.niyati.com/fonts/Roboto-Light.svg	C:/My%20Web%20Sites/Niyati/www.niyati.com/fonts/Roboto-Light.svg	(from http://www.niyati.com/includes/bootstrap.min.css)
19:10:03	18028/18028	---M-Z	200	added ('OK')	text/plain	etag:%2212a1943-466c-50f6a9e7570c0%22	http://www.niyati.com/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/Niyati/www.niyati.com/fonts/glyphicons-halflings-regular.woff2	(from http://www.niyati.com/includes/bootstrap.min.css)
